"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"SLI","SL Industries, Inc.","48.4","200569600","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sli",
"XPL","Solitario Exploration & Royalty Corp","1.41","55339241.49","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/xpl",
"SOQ","Sonde Resources Corp","0.1689","9467345.4507","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/soq",
"SCE^B","Southern California Edison Company","20.83","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^b",
"SCE^C","Southern California Edison Company","20.8074","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^c",
"SCE^D","Southern California Edison Company","22.16","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^d",
"SCE^E","Southern California Edison Company","22.56","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sce^e",
"SGB","Southwest Georgia Financial Corporation","13.55","34523191.35","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sgb",
"LOV","Spark Networks, Inc.","5.08","121856007.24","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lov",
"STRP","Straight Path Communications Inc.","9.83","115945803.51","n/a","2013","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/strp",
"SSY","SunLink Health Systems, Inc.","1.62","15298320.96","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ssy",
"SDPI","Superior Drilling Products, Inc.","6.96","120349856.16","n/a","2014","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/sdpi",
"STS","Supreme Industries, Inc.","8.02","132409165.42","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/sts",
"SYRG","Synergy Resources Corporation","13.04","1012114648.16","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/syrg",
"SYN","Synthetic Biologics, Inc","2.36","137950326.08","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/syn",
"TRX","Tanzanian Royalty Exploration Corporation","2.25","227983230","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","1.98","386100900.9","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgb",
"TAS","Tasman Metals Ltd","0.8702","57556700.5244","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tas",
"TRC/WS","Tejon Ranch Co","2.17","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/trc/ws",
"TIK","Tel-Instrument Electronics Corp.","5.73","18630447.51","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/tik",
"TGC","Tengasco, Inc.","0.47","28595934.11","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tgc",
"GLU","The Gabelli Global Utility and Income Trust","19.94","81981535.34","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/glu",
"GLU^A","The Gabelli Global Utility and Income Trust","50.5101","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glu^a",
"TXMD","TherapeuticsMD, Inc.","5.84","909917347.6","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/txmd",
"TPI","Tianyin Pharmaceutical Co., Inc.","0.68","20014297.88","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/tpi",
"IDI","Tiger Media, Inc.","0.5799","20644866.8064","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/idi",
"TLR","Timberline Resources Corporation","0.07","5261485.74","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tlr",
"TGD","Timmons Gold Corp","1.46","238793773.34","n/a","2011","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgd",
"TOF","Tofutti Brands Inc.","4.23","21800176.38","n/a","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/tof",
"TMP","Tompkins Financial Corporation","45.8","680287506.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/tmp",
"TAT","Transatlantic Petroleum Ltd","9.96","373300361.76","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tat",
